comuna,station_id,day,avg_pm25,num_hourly_obs
Quilicura,D31,2019-08-19,50.458333333333336,24
Pudahuel,D30,2020-05-01,50.083333333333336,24
Pudahuel,D30,2020-05-23,71.0,24
Pudahuel,D30,2020-05-24,52.666666666666664,24
Pudahuel,D30,2020-05-29,56.73913043478261,23
Quilicura,D31,2020-05-29,51.45454545454545,22
Pudahuel,D30,2020-05-30,52.958333333333336,24
Pudahuel,D30,2020-05-31,52.875,24
Quilicura,D31,2020-05-31,58.041666666666664,24
Pudahuel,D30,2020-06-05,55.666666666666664,24
Pudahuel,D30,2020-06-06,54.458333333333336,24
Pudahuel,D30,2020-06-08,63.625,24
Quilicura,D31,2020-06-08,54.25,24
Pudahuel,D30,2020-06-09,54.458333333333336,24
Pudahuel,D30,2020-06-10,54.916666666666664,24
Quilicura,D31,2020-06-10,56.041666666666664,24
Pudahuel,D30,2020-06-11,64.08333333333333,24
Quilicura,D31,2020-06-11,60.833333333333336,24
Pudahuel,D30,2020-06-13,70.125,24
Pudahuel,D30,2020-06-14,57.208333333333336,24
Quilicura,D31,2020-06-16,50.541666666666664,24
Pudahuel,D30,2020-06-21,53.791666666666664,24
Quilicura,D31,2020-06-21,50.666666666666664,24
Pudahuel,D30,2020-06-27,68.70833333333333,24
Pudahuel,D30,2020-06-28,58.791666666666664,24
Pudahuel,D30,2020-07-09,52.791666666666664,24
Pudahuel,D30,2020-07-10,59.833333333333336,24
Quilicura,D31,2020-07-10,56.083333333333336,24
Santiago,D13,2020-07-10,51.458333333333336,24
Pudahuel,D30,2020-07-11,68.25,24
Quilicura,D31,2020-07-11,70.83333333333333,24
Santiago,D13,2020-07-11,59.708333333333336,24
Pudahuel,D30,2020-07-12,56.958333333333336,24
Puente Alto,D15,2020-07-12,65.20833333333333,24
Quilicura,D31,2020-07-12,60.75,24
Santiago,D13,2020-07-12,58.708333333333336,24
Pudahuel,D30,2020-07-13,88.33333333333333,24
Quilicura,D31,2020-07-13,66.95833333333333,24
Santiago,D13,2020-07-13,59.958333333333336,24
Pudahuel,D30,2020-07-14,61.59090909090909,22
Quilicura,D31,2020-07-14,53.583333333333336,24
Pudahuel,D30,2020-07-15,145.33333333333334,24
Quilicura,D31,2020-07-15,54.291666666666664,24
Santiago,D13,2020-07-15,60.291666666666664,24
Pudahuel,D30,2020-07-16,55.875,24
Puente Alto,D15,2020-07-16,73.875,24
Quilicura,D31,2020-07-16,64.41666666666667,24
Santiago,D13,2020-07-16,58.083333333333336,24
Puente Alto,D15,2020-07-17,53.666666666666664,24
Quilicura,D31,2020-07-17,70.54166666666667,24
Santiago,D13,2020-07-17,56.75,24
Pudahuel,D30,2020-07-23,82.16666666666667,24
Pudahuel,D30,2020-07-25,75.20833333333333,24
Pudahuel,D30,2020-07-26,82.29166666666667,24
Puente Alto,D15,2020-07-26,51.875,24
Quilicura,D31,2020-07-26,65.75,24
Santiago,D13,2020-07-26,70.75,24
Pudahuel,D30,2020-07-27,57.5,24
Quilicura,D31,2020-07-27,58.04347826086956,23
Pudahuel,D30,2020-07-28,62.541666666666664,24
Quilicura,D31,2020-07-28,54.291666666666664,24
Pudahuel,D30,2020-07-29,67.20833333333333,24
Quilicura,D31,2020-07-29,58.125,24
Pudahuel,D30,2020-07-31,63.916666666666664,24
Puente Alto,D15,2020-07-31,54.75,24
Santiago,D13,2020-07-31,60.041666666666664,24
