FECHA (YYMMDD);HORA (HHMM);;
180207;0800;21,3055;
180207;0900;23,6551;
180207;1000;25,7548;
180207;1100;26,5877;
180207;1200;27,9207;
180207;1300;28,737;
180207;1400;28,47;
180207;1500;28,2757;
180207;1600;27,5276;
180207;1700;26,5189;
180207;1800;24,9268;
180207;1900;22,2182;
180207;2000;20,4261;
180207;2100;19,284;
180207;2200;18,6421;
180207;2300;18,0417;
180208;0000;17,6069;
180208;0100;16,6065;
180208;0200;15,7531;
180208;0300;15,0196;
180208;0400;14,6527;
180208;0500;14,3942;
180208;0600;14,4357;
180208;0700;18,3877;
180208;0800;21,8457;
180208;0900;23,962;
180208;1000;25,6533;
180208;1100;27,4196;
180208;1200;28,2109;
180208;1300;29,0439;
180208;1400;29,3018;
180208;1500;29,2515;
180208;1600;28,7428;
180208;1700;27,5257;
180208;1800;25,0171;
180208;1900;22,1083;
180208;2000;20,4651;
180208;2100;19,5732;
180208;2200;18,9811;
180208;2300;18,2141;
180209;0000;17,5721;
180209;0100;17,3133;
180209;0200;16,588;
180209;0300;15,6771;
180209;0400;15,227;
180209;0500;14,7935;
180209;0600;14,8933;
180209;0700;17,9279;
180209;0800;21,6442;
180209;0900;23,1605;
180209;1000;25,7768;
180209;1100;27,0598;
180209;1200;28,7261;
180209;1300;29,609;
180209;1400;30,3421;
180209;1500;30,4083;
180209;1600;30,2401;
180209;1700;29,6565;
180209;1800;27,9561;
180209;1900;25,4557;
180209;2000;23,4137;
180209;2100;22,1967;
180209;2200;20,7879;
180209;2300;19,396;
180210;0000;17,7706;
180210;0100;15,7768;
180210;0200;14,8849;
180210;0300;14,7764;
180210;0400;13,6012;
180210;0500;13,451;
180210;0600;12,6426;
180210;0700;17,6097;
180210;0800;20,1593;
180210;0900;22,109;
180210;1000;24,8504;
180210;1100;26,7667;
180210;1200;28,5068;
180210;1300;30,4148;
180210;1400;30,6811;
180210;1500;30,689;
180210;1600;29,3721;
180210;1700;27,1717;
180210;1800;26,063;
180210;1900;24,2376;
180210;2000;21,8789;
180210;2100;20,2036;
180210;2200;18,7865;
180210;2300;17,8028;
180211;0000;16,8608;
180211;0100;15,8511;
180211;0200;14,9426;
180211;0300;13,984;
180211;0400;14,2255;
180211;0500;13,442;
180211;0600;12,7002;
180211;0700;18,575;
180211;0800;20,9234;
180211;0900;22,9397;
180211;1000;26,1227;
180211;1100;28,0389;
180211;1200;31,6053;
180211;1300;31,78;
180211;1400;32,1343;
180211;1500;32,4835;
180211;1600;32,3411;
180211;1700;31,9285;
180211;1800;30,2865;
180211;1900;27,0695;
180211;2000;23,8107;
180211;2100;21,3854;
180211;2200;19,6517;
180211;2300;18,968;
180212;0000;17,7093;
