FECHA (YYMMDD);HORA (HHMM);;
180204;0700;250,22;
180204;0800;248,867;
180204;0900;337,157;
180204;1000;209,09;
180204;1100;239,78;
180204;1200;218,058;
180204;1300;221,254;
180204;1400;225,587;
180204;1500;218,308;
180204;1600;222,992;
180204;1700;225,587;
180204;1800;215,439;
180204;1900;207,635;
180204;2000;209,687;
180204;2100;197,47;
180204;2200;216,161;
180204;2300;230,884;
180205;0000;244,772;
180205;0100;254,504;
180205;0200;250,017;
180205;0300;250,442;
180205;0400;239,595;
180205;0500;235,905;
180205;0600;237,292;
180205;0700;233,172;
180205;0800;245,551;
180205;0900;242,289;
180205;1000;246,032;
180205;1100;228,358;
180205;1200;219,533;
180205;1300;218,624;
180205;1400;215,652;
180205;1500;221,73;
180205;1600;222,516;
180205;1700;214,724;
180205;1800;212,457;
180205;1900;193,953;
180205;2000;214,359;
180205;2100;224,437;
180205;2200;167,067;
180205;2300;200,574;
180206;0000;241,937;
180206;0100;239,215;
180206;0200;238,488;
180206;0300;234,163;
180206;0400;230,556;
180206;0500;248,569;
180206;0600;232,681;
180206;0700;213,615;
180206;0800;257,591;
180206;0900;228,225;
180206;1000;230,983;
180206;1100;224,875;
180206;1200;218,733;
180206;1300;216,916;
180206;1400;215,25;
180206;1500;219,338;
180206;1600;223,747;
180206;1700;226,639;
180206;1800;227,056;
180206;1900;217,273;
180206;2000;208,4;
180206;2100;217,706;
180206;2200;231,132;
180206;2300;238,507;
180207;0000;238,66;
180207;0100;242,704;
180207;0200;250,675;
180207;0300;244,891;
180207;0400;243,837;
180207;0500;254,61;
180207;0600;253,113;
180207;0700;156,248;
180207;0800;238,149;
180207;0900;247,565;
180207;1000;243,06;
180207;1100;219,182;
180207;1200;209,046;
180207;1300;212,845;
180207;1400;221,495;
180207;1500;222,309;
180207;1600;220,866;
180207;1700;217,92;
180207;1800;217,953;
180207;1900;207,469;
180207;2000;197,962;
180207;2100;198,213;
180207;2200;200,011;
180207;2300;210,984;
180208;0000;232,595;
180208;0100;252,706;
180208;0200;255,387;
180208;0300;238,043;
180208;0400;252,029;
180208;0500;236,985;
180208;0600;269,566;
180208;0700;203,63;
180208;0800;291,159;
180208;0900;324,652;
180208;1000;244,676;
180208;1100;219,494;
180208;1200;205,126;
180208;1300;222,342;
180208;1400;218,937;
180208;1500;222,315;
180208;1600;213,673;
180208;1700;210,195;
180208;1800;218,085;
180208;1900;203,363;
180208;2000;208,765;
180208;2100;206,203;
180208;2200;205,254;
180208;2300;207,763;
180209;0000;275,984;
180209;0100;256,367;
180209;0200;253,948;
180209;0300;249,477;
180209;0400;249,472;
180209;0500;230,183;
180209;0600;250,117;
180209;0700;286,177;
180209;0800;240,299;
180209;0900;280,381;
180209;1000;237,113;
180209;1100;197,698;
180209;1200;215,352;
180209;1300;212,697;
180209;1400;211,285;
180209;1500;192,424;
180209;1600;218,545;
180209;1700;228,415;
180209;1800;224,713;
180209;1900;217,934;
180209;2000;223,48;
180209;2100;218,093;
180209;2200;209,597;
180209;2300;221,251;
180210;0000;228,236;
180210;0100;271,584;
180210;0200;13,6045;
180210;0300;263,007;
180210;0400;195,991;
180210;0500;253,515;
180210;0600;224,07;
180210;0700;26,5171;
180210;0800;242,112;
180210;0900;237,361;
180210;1000;316,838;
180210;1100;213,635;
180210;1200;189,324;
180210;1300;214,153;
180210;1400;211,136;
180210;1500;223,536;
180210;1600;201,143;
180210;1700;197,129;
180210;1800;194,239;
180210;1900;184,799;
180210;2000;189,725;
180210;2100;190,068;
180210;2200;186,73;
180210;2300;210,886;
180211;0000;240,062;
180211;0100;275,274;
180211;0200;290,451;
180211;0300;209,908;
180211;0400;303,606;
180211;0500;231,501;
180211;0600;140,628;
180211;0700;151,989;
180211;0800;246,621;
180211;0900;221,533;
180211;1000;311,743;
180211;1100;198,746;
180211;1200;304,237;
180211;1300;216,132;
180211;1400;212,442;
180211;1500;203,149;
180211;1600;203,239;
180211;1700;213,749;
180211;1800;224,114;
180211;1900;214,08;
180211;2000;192,898;
180211;2100;190,812;
180211;2200;253,644;
180211;2300;17,5803;
180212;0000;294,209;
180212;0100;258,342;
180212;0200;211,419;
180212;0300;100,479;
180212;0400;75,0387;
180212;0500;112,386;
180212;0600;125,137;
180212;0700;150,336;
180212;0800;185,898;
180212;0900;69,7815;
180212;1000;68;
180212;1100;160,446;
180212;1200;202,139;
180212;1300;222,099;
180212;1400;215,499;
180212;1500;215,535;
180212;1600;223,895;
180212;1700;214,011;
180212;1800;213,381;
180212;1900;198,557;
180212;2000;195,337;
180212;2100;178,657;
180212;2200;282,497;
180212;2300;19,9572;
180213;0000;253,374;
180213;0100;200,77;
180213;0200;226,099;
180213;0300;131,97;
