FECHA (YYMMDD);HORA (HHMM);;
180120;0400;1,19473;
180120;0500;1,02733;
180120;0600;1,53721;
180120;0700;1,90855;
180120;0800;2,47007;
180120;0900;2,88886;
180120;1000;3,42162;
180120;1100;3,34863;
180120;1200;3,53582;
180120;1300;3,9114;
180120;1400;3,74347;
180120;1500;3,92409;
180120;1600;3,71;
180120;1700;3,58074;
180120;1800;3,21091;
180120;1900;2,49273;
180120;2000;2,5334;
180120;2100;2,45915;
180120;2200;2,45325;
180120;2300;1,95023;
180121;0000;1,8848;
180121;0100;1,92891;
180121;0200;1,74905;
180121;0300;1,74041;
180121;0400;1,18557;
180121;0500;0,810971;
180121;0600;0,669756;
180121;0700;0,517387;
180121;0800;0,858236;
180121;0900;1,65017;
180121;1000;2,9586;
180121;1100;3,79594;
180121;1200;3,88527;
180121;1300;4,47091;
180121;1400;4,06546;
180121;1500;3,7875;
180121;1600;3,96215;
180121;1700;3,90581;
180121;1800;3,4819;
180121;1900;3,08988;
180121;2000;2,03514;
180121;2100;1,92411;
180121;2200;1,36022;
180121;2300;1,44425;
180122;0000;1,12224;
180122;0100;0,90053;
180122;0200;0,845001;
180122;0300;0,518002;
180122;0400;0,495342;
180122;0500;0,375623;
180122;0600;0,675061;
180122;0700;0,608321;
180122;0800;0,752959;
180122;0900;0,908747;
180122;1000;1,86424;
180122;1100;2,72321;
180122;1200;3,5623;
180122;1300;3,42972;
180122;1400;3,86009;
180122;1500;3,87713;
180122;1600;3,5128;
180122;1700;3,59394;
180122;1800;3,65141;
180122;1900;3,06269;
180122;2000;2,28705;
180122;2100;2,76743;
180122;2200;2,23323;
180122;2300;1,35463;
180123;0000;1,31484;
180123;0100;1,53245;
180123;0200;1,24827;
180123;0300;1,42852;
180123;0400;1,21175;
180123;0500;1,13007;
180123;0600;1,4524;
180123;0700;1,37613;
180123;0800;1,91637;
180123;0900;2,29065;
180123;1000;2,74533;
180123;1100;3,18768;
180123;1200;3,50144;
180123;1300;4,13876;
180123;1400;4,73418;
180123;1500;4,06294;
180123;1600;3,53537;
180123;1700;3,38617;
180123;1800;2,86771;
180123;1900;2,11655;
180123;2000;1,92295;
180123;2100;1,83252;
180123;2200;1,73944;
180123;2300;1,49467;
180124;0000;1,12504;
180124;0100;0,800152;
180124;0200;0,832084;
180124;0300;0,668175;
180124;0400;0,735651;
180124;0500;0,310864;
180124;0600;0,571027;
180124;0700;0,59182;
180124;0800;0,519181;
180124;0900;0,776709;
180124;1000;1,85566;
180124;1100;2,87219;
180124;1200;3,67252;
180124;1300;3,97296;
180124;1400;4,30748;
180124;1500;3,94719;
180124;1600;4,08046;
180124;1700;3,94183;
180124;1800;3,26196;
180124;1900;2,83057;
180124;2000;2,66045;
180124;2100;2,43721;
180124;2200;2,14835;
180124;2300;1,57137;
180125;0000;1,62576;
180125;0100;1,53424;
180125;0200;0,993389;
180125;0300;1,44607;
180125;0400;1,22004;
180125;0500;1,21365;
180125;0600;1,2341;
180125;0700;1,60279;
180125;0800;1,76443;
180125;0900;2,42158;
180125;1000;2,90709;
180125;1100;2,599;
180125;1200;3,26279;
180125;1300;3,41466;
180125;1400;4,14115;
180125;1500;3,96938;
180125;1600;3,85752;
180125;1700;3,70628;
180125;1800;3,73046;
180125;1900;3,09507;
180125;2000;2,65135;
180125;2100;2,60975;
180125;2200;2,20853;
180125;2300;1,94266;
180126;0000;1,70292;
180126;0100;1,23521;
180126;0200;1,18561;
180126;0300;1,50881;
180126;0400;1,08648;
180126;0500;1,53709;
180126;0600;1,30908;
180126;0700;1,76585;
180126;0800;1,61078;
180126;0900;1,58264;
180126;1000;1,713;
180126;1100;2,51017;
180126;1200;3,04634;
180126;1300;3,64743;
180126;1400;4,07814;
180126;1500;4,00993;
180126;1600;4,06509;
180126;1700;4,07408;
180126;1800;3,47861;
180126;1900;2,82542;
180126;2000;2,4669;
180126;2100;2,40502;
180126;2200;1,99427;
180126;2300;1,23192;
180127;0000;0,75674;
180127;0100;0,736913;
180127;0200;1,11846;
180127;0300;0,471266;
180127;0400;0,56788;
180127;0500;0,218351;
180127;0600;0,657457;
180127;0700;0,341574;
180127;0800;0,727372;
180127;0900;0,426978;
180127;1000;1,25448;
180127;1100;2,24614;
180127;1200;2,66434;
180127;1300;2,46194;
180127;1400;2,81827;
180127;1500;3,16866;
180127;1600;2,74384;
180127;1700;3,11388;
180127;1800;3,05245;
180127;1900;2,39183;
180127;2000;1,45811;
180127;2100;1,63345;
180127;2200;2,4653;
180127;2300;1,79165;
180128;0000;1,17369;
180128;0100;0,858088;
180128;0200;1,00834;
180128;0300;0,277749;
180128;0400;0,394904;
