FECHA (YYMMDD);HORA (HHMM);;
180120;0200;173,711;
180120;0300;201,741;
180120;0400;205,282;
180120;0500;192,778;
180120;0600;203,853;
180120;0700;195,135;
180120;0800;182,339;
180120;0900;193,884;
180120;1000;199,302;
180120;1100;192,798;
180120;1200;195,067;
180120;1300;200,222;
180120;1400;192,469;
180120;1500;204,235;
180120;1600;201,223;
180120;1700;206,564;
180120;1800;203,073;
180120;1900;190,456;
180120;2000;185,51;
180120;2100;187,664;
180120;2200;189,554;
180120;2300;184,683;
180121;0000;184,256;
180121;0100;185,11;
180121;0200;184,355;
180121;0300;203,337;
180121;0400;191,078;
180121;0500;216,973;
180121;0600;213,576;
180121;0700;291,722;
180121;0800;270,876;
180121;0900;225,811;
180121;1000;204,278;
180121;1100;196,165;
180121;1200;203,779;
180121;1300;202,592;
180121;1400;198,239;
180121;1500;193,792;
180121;1600;199,291;
180121;1700;205,596;
180121;1800;204,725;
180121;1900;207,847;
180121;2000;188,879;
180121;2100;185,169;
180121;2200;180,276;
180121;2300;193,769;
180122;0000;187,468;
180122;0100;191,01;
180122;0200;179,536;
180122;0300;205,384;
180122;0400;211,826;
180122;0500;228,024;
180122;0600;198,616;
180122;0700;232,02;
180122;0800;203,152;
180122;0900;172,631;
180122;1000;199,744;
180122;1100;204,013;
180122;1200;204,306;
180122;1300;190,11;
180122;1400;209,233;
180122;1500;214,36;
180122;1600;207,784;
180122;1700;209,232;
180122;1800;211,15;
180122;1900;200,497;
180122;2000;192,806;
180122;2100;167,864;
180122;2200;179,912;
180122;2300;187,769;
180123;0000;190,267;
180123;0100;187,47;
180123;0200;176,496;
180123;0300;182,22;
180123;0400;186,703;
180123;0500;209,467;
180123;0600;222,569;
180123;0700;196,15;
180123;0800;200,017;
180123;0900;193,401;
180123;1000;202,659;
180123;1100;193,268;
180123;1200;203,146;
180123;1300;212,135;
180123;1400;211,747;
180123;1500;205,073;
180123;1600;202,246;
180123;1700;199,353;
180123;1800;202,392;
180123;1900;194,289;
180123;2000;185,919;
180123;2100;178,714;
180123;2200;182,575;
180123;2300;186,798;
180124;0000;201,58;
180124;0100;193,621;
180124;0200;194,621;
180124;0300;166,799;
180124;0400;206,832;
180124;0500;202,642;
180124;0600;219,542;
180124;0700;217,934;
180124;0800;268,599;
180124;0900;196,991;
180124;1000;194,784;
180124;1100;194,801;
180124;1200;204,889;
180124;1300;202,008;
180124;1400;198,672;
180124;1500;200,495;
180124;1600;191,479;
180124;1700;201,513;
180124;1800;198,411;
180124;1900;184,59;
180124;2000;183,21;
180124;2100;171,192;
180124;2200;196,432;
180124;2300;194,404;
180125;0000;190,344;
180125;0100;179,855;
180125;0200;193,862;
180125;0300;204,212;
180125;0400;201,235;
180125;0500;201,343;
180125;0600;167,011;
180125;0700;189,667;
180125;0800;200,439;
180125;0900;204,632;
180125;1000;210,344;
180125;1100;205,445;
180125;1200;206,093;
180125;1300;207,873;
180125;1400;203,515;
180125;1500;201,081;
180125;1600;204,184;
180125;1700;196,779;
180125;1800;201,097;
180125;1900;191,261;
180125;2000;177,201;
180125;2100;172,371;
180125;2200;183,189;
180125;2300;188,113;
180126;0000;202,075;
180126;0100;201,735;
180126;0200;198,754;
180126;0300;188,808;
180126;0400;187,89;
180126;0500;183,612;
180126;0600;186,878;
180126;0700;183,637;
180126;0800;204,664;
180126;0900;201,562;
180126;1000;201,148;
180126;1100;210,54;
180126;1200;199,869;
180126;1300;209,424;
180126;1400;210,812;
180126;1500;201,231;
180126;1600;207,692;
180126;1700;204,321;
180126;1800;199,992;
180126;1900;193,026;
180126;2000;182,884;
180126;2100;173,28;
180126;2200;178,265;
180126;2300;192,982;
180127;0000;180,849;
180127;0100;208,537;
180127;0200;197,01;
180127;0300;117,864;
180127;0400;78,1443;
180127;0500;325,463;
180127;0600;334,183;
180127;0700;324,236;
180127;0800;235,541;
180127;0900;241,389;
180127;1000;198,652;
180127;1100;204,438;
180127;1200;205,929;
180127;1300;195,719;
180127;1400;211,573;
180127;1500;202,058;
180127;1600;218,552;
180127;1700;225,015;
180127;1800;229,126;
180127;1900;222,692;
180127;2000;193,192;
180127;2100;197,48;
180127;2200;215,204;
180127;2300;204,396;
180128;0000;184,487;
180128;0100;209,223;
180128;0200;232,09;
180128;0300;201,273;
180128;0400;67,733;
180128;0500;297,97;
180128;0600;24,7881;
180128;0700;12,3575;
180128;0800;37,8813;
180128;0900;74,4943;
180128;1000;190,48;
180128;1100;204,071;
180128;1200;203,197;
180128;1300;202,626;
180128;1400;207,315;
180128;1500;215,796;
180128;1600;215,265;
180128;1700;218,113;
180128;1800;220,02;
180128;1900;206,155;
180128;2000;196,469;
180128;2100;175,86;
180128;2200;176,995;
180128;2300;171,264;
180129;0000;178,517;
180129;0100;180,632;
180129;0200;198,751;
180129;0300;135,899;
180129;0400;130,097;
180129;0500;131,003;
180129;0600;183,457;
180129;0700;185,291;
180129;0800;201,09;
180129;0900;203,076;
180129;1000;184,419;
180129;1100;186,578;
180129;1200;194,192;
180129;1300;202,812;
180129;1400;196,084;
180129;1500;206,256;
180129;1600;198,222;
180129;1700;199,01;
180129;1800;195,171;
180129;1900;195,459;
180129;2000;170,928;
180129;2100;172,999;
180129;2200;181,578;
180129;2300;195,202;
180130;0000;187,985;
180130;0100;186,872;
180130;0200;204,991;
180130;0300;197,832;
180130;0400;186,294;
180130;0500;184,249;
180130;0600;204,541;
180130;0700;211,488;
180130;0800;181,608;
180130;0900;165,865;
180130;1000;125,058;
180130;1100;212,612;
180130;1200;194,104;
180130;1300;203,101;
180130;1400;213,36;
180130;1500;213,54;
180130;1600;212,137;
180130;1700;218,16;
180130;1800;212,793;
180130;1900;208,458;
180130;2000;201,826;
180130;2100;192,53;
180130;2200;204,131;
180130;2300;200,974;
180131;0000;160,929;
180131;0100;181,897;
180131;0200;144,31;
180131;0300;282,368;
180131;0400;341,857;
180131;0500;37,0674;
180131;0600;289,94;
180131;0700;120,254;
180131;0800;305,976;
180131;0900;342,917;
180131;1000;222,344;
180131;1100;202,072;
180131;1200;201,567;
180131;1300;212,929;
180131;1400;212,724;
180131;1500;202,064;
180131;1600;206,673;
180131;1700;205,764;
180131;1800;205,899;
180131;1900;203,848;
180131;2000;183,827;
180131;2100;178,823;
180131;2200;181,128;
180131;2300;175,161;
180201;0000;191,162;
180201;0100;195,027;
180201;0200;192,276;
180201;0300;195,138;
180201;0400;209,481;
180201;0500;202,011;
180201;0600;184,685;
180201;0700;202,691;
180201;0800;233,564;
180201;0900;174,349;
180201;1000;213,565;
180201;1100;205,035;
180201;1200;210,063;
180201;1300;209,214;
180201;1400;200,378;
180201;1500;198,064;
180201;1600;204,032;
180201;1700;200,913;
180201;1800;194,388;
180201;1900;187,536;
180201;2000;187,02;
180201;2100;175,853;
180201;2200;181,663;
180201;2300;184,142;
180202;0000;192,611;
180202;0100;199,737;
180202;0200;189,786;
180202;0300;199,454;
180202;0400;188,816;
180202;0500;189,424;
180202;0600;203,523;
180202;0700;211,158;
180202;0800;192,895;
180202;0900;191,671;
180202;1000;203,93;
180202;1100;204,255;
180202;1200;199,843;
180202;1300;206,379;
180202;1400;205,175;
180202;1500;208,265;
180202;1600;207,905;
180202;1700;201,064;
180202;1800;196,484;
180202;1900;197,201;
180202;2000;192,016;
180202;2100;182,861;
180202;2200;167,583;
180202;2300;177,368;
180203;0000;201,519;
180203;0100;189,516;
180203;0200;186,229;
180203;0300;182,657;
180203;0400;175,594;
180203;0500;176,921;
180203;0600;179,199;
180203;0700;182,287;
180203;0800;178,758;
180203;0900;178,005;
180203;1000;205,316;
180203;1100;209,802;
180203;1200;201,786;
180203;1300;205,366;
180203;1400;201,719;
180203;1500;207,488;
180203;1600;207,885;
180203;1700;195,002;
180203;1800;203,637;
180203;1900;187,974;
180203;2000;189,383;
180203;2100;185,208;
180203;2200;179,471;
180203;2300;178,58;
180204;0000;190,839;
180204;0100;187,006;
180204;0200;190,468;
180204;0300;200,137;
180204;0400;197,244;
180204;0500;194,324;
180204;0600;167,597;
180204;0700;188,601;
180204;0800;160,623;
180204;0900;161,682;
180204;1000;214,8;
180204;1100;209,224;
180204;1200;206,411;
180204;1300;199,803;
180204;1400;200,565;
180204;1500;198,509;
180204;1600;202,868;
180204;1700;201,126;
180204;1800;210,402;
180204;1900;189,192;
180204;2000;175,545;
180204;2100;183,534;
180204;2200;186,222;
180204;2300;174,035;
180205;0000;195,753;
180205;0100;199,442;
180205;0200;203,707;
180205;0300;205,258;
180205;0400;188,659;
