FECHA (YYMMDD);HORA (HHMM);;
180127;1100;24,3726;
180127;1200;26,2888;
180127;1300;27,6551;
180127;1400;28,7215;
180127;1500;29,4711;
180127;1600;30,0623;
180127;1700;29,8454;
180127;1800;29,0283;
180127;1900;26,8196;
180127;2000;24,1109;
180127;2100;22,9105;
180127;2200;22,3268;
180127;2300;20,5182;
180128;0000;19,4928;
180128;0100;18,8507;
180128;0200;17,5171;
180128;0300;17,0083;
180128;0400;15,7701;
180128;0500;15,6783;
180128;0600;16,0145;
180128;0700;20,0726;
180128;0800;22,2222;
180128;0900;24,8884;
180128;1000;27,063;
180128;1100;28,1211;
180128;1200;29,4873;
180128;1300;30,7037;
180128;1400;32,0816;
180128;1500;32,8695;
180128;1600;33,0551;
180128;1700;32,3961;
180128;1800;30,7685;
180128;1900;28,0682;
180128;2000;25,4094;
180128;2100;24,109;
180128;2200;22,6671;
180128;2300;21,2167;
180129;0000;20,0569;
180129;0100;19,5398;
180129;0200;18,8562;
180129;0300;17,6225;
180129;0400;17,2804;
180129;0500;16,8718;
180129;0600;16,963;
180129;0700;21,2627;
180129;0800;23,229;
180129;0900;24,062;
180129;1000;24,545;
180129;1100;26,4779;
180129;1200;27,3526;
180129;1300;27,4022;
180129;1400;27,9851;
180129;1500;27,7924;
180129;1600;26,9011;
180129;1700;25,659;
180129;1800;23,3587;
180129;1900;20,6583;
180129;2000;18,2486;
180129;2100;16,9148;
180129;2200;16,2895;
180129;2300;15,3612;
180130;0000;13,7027;
180130;0100;13,0275;
180130;0200;12,369;
180130;0300;11,2355;
180130;0400;9,99365;
180130;0500;9,56847;
180130;0600;10,6766;
180130;0700;13,6682;
180130;0800;16,3693;
180130;0900;18,7105;
180130;1000;21,7851;
180130;1100;22,8515;
180130;1200;24,8928;
180130;1300;25,7007;
180130;1400;26,7837;
180130;1500;27,675;
180130;1600;27,9069;
180130;1700;27,6648;
180130;1800;26,9812;
180130;1900;24,9225;
180130;2000;22,8054;
180130;2100;21,8218;
180130;2200;20,938;
180130;2300;20,3376;
180131;0000;19,5707;
180131;0100;17,9619;
180131;0200;17,2199;
180131;0300;16,6446;
180131;0400;16,3126;
180131;0500;15,8761;
180131;0600;15,9009;
180131;0700;19,7848;
180131;0800;22,6178;
180131;0900;23,959;
180131;1000;25,9504;
180131;1100;27,6917;
180131;1200;29,7402;
180131;1300;30,2898;
180131;1400;31,0562;
180131;1500;31,1975;
180131;1600;31,1221;
180131;1700;29,7801;
180131;1800;28,3464;
180131;1900;26,0626;
180131;2000;23,7957;
180131;2100;22,0203;
180131;2200;20,8615;
180131;2300;19,5529;
180201;0000;18,8442;
180201;0100;18,2271;
180201;0200;17,5935;
180201;0300;17,4264;
180201;0400;17,0177;
180201;0500;16,7424;
180201;0600;17,0586;
180201;0700;20,5417;
180201;0800;23,4903;
180201;0900;25,6483;
180201;1000;26,6645;
180201;1100;27,5641;
180201;1200;28,8805;
180201;1300;29,7301;
180201;1400;29,7631;
180201;1500;29,8544;
180201;1600;29,0373;
180201;1700;27,962;
180201;1800;26,6533;
180201;1900;24,4029;
180201;2000;22,1609;
180201;2100;21,2772;
180201;2200;20,3935;
180201;2300;19,1432;
180202;0000;18,2844;
180202;0100;17,7007;
180202;0200;17,0254;
180202;0300;16,2167;
180202;0400;15,5535;
180202;0500;15,345;
180202;0600;15,7531;
180202;0700;18,2141;
180202;0800;19,3472;
180202;0900;21,2384;
180202;1000;22,5464;
180202;1100;24,0711;
180202;1200;25,0123;
180202;1300;25,9953;
180202;1400;26,5783;
180202;1500;27,1756;
180202;1600;27,0442;
180202;1700;26,2355;
180202;1800;24,8601;
180202;1900;22,4265;
180202;2000;20,5094;
180202;2100;19,5674;
180202;2200;19,0254;
180202;2300;18,375;
180203;0000;17,9069;
180203;0100;17,5565;
180203;0200;16,6895;
180203;0300;15,0862;
180203;0400;13,9027;
180203;0500;12,8934;
180203;0600;13,0691;
180203;0700;13,9189;
180203;0800;15,8603;
180203;0900;19,3704;
180203;1000;21,8033;
180203;1100;23,5862;
180203;1200;25,0109;
180203;1300;26,4189;
180203;1400;26,2768;
180203;1500;26,4515;
180203;1600;26,2094;
180203;1700;25,784;
180203;1800;24,9337;
180203;1900;22,9;
180203;2000;21,4069;
180203;2100;20,3398;
180203;2200;19,5729;
180203;2300;18,8975;
180204;0000;18,4887;
180204;0100;17,3051;
180204;0200;16,8547;
180204;0300;16,9793;
180204;0400;16,8858;
180204;0500;16,6869;
180204;0600;16,77;
180204;0700;19,4529;
180204;0800;21,9859;
180204;0900;23,8605;
180204;1000;24,6935;
180204;1100;25,8848;
180204;1200;26,8261;
180204;1300;27,7174;
180204;1400;28,2754;
180204;1500;28,625;
180204;1600;28,2236;
180204;1700;27,1315;
180204;1800;25,1229;
180204;1900;22,4975;
180204;2000;20,6554;
180204;2100;19,4218;
180204;2200;18,5797;
180204;2300;17,646;
180205;0000;17,2873;
180205;0100;16,8203;
180205;0200;16,5615;
180205;0300;16,6696;
180205;0400;16,5858;
180205;0500;16,0271;
180205;0600;15,9509;
180205;0700;17,3348;
180205;0800;20,3844;
180205;0900;21,959;
180205;1000;24,0004;
180205;1100;25,1583;
180205;1200;26,7819;
180205;1300;26,6482;
180205;1400;27,0562;
180205;1500;26,1641;
180205;1600;25,3304;
180205;1700;23,1301;
180205;1800;22,013;
180205;1900;21,4376;
180205;2000;20,4457;
180205;2100;19,4203;
180205;2200;18,8615;
180205;2300;18,8029;
180206;0000;18,7108;
180206;0100;17,7438;
180206;0200;17,8351;
180206;0300;17,0597;
180206;0400;15,8838;
180206;0500;14,9336;
180206;0600;14,7752;
180206;0700;14,85;
180206;0800;16,6736;
180206;0900;19,4149;
180206;1000;22,2312;
180206;1100;23,5059;
180206;1200;24,1305;
180206;1300;25,3551;
180206;1400;27,2775;
180206;1500;27,2627;
180206;1600;26,8623;
180206;1700;26,4704;
180206;1800;25,0533;
180206;1900;22,9696;
180206;2000;21,4193;
180206;2100;20,5939;
180206;2200;19,7268;
180206;2300;19,1098;
180207;0000;17,7511;
180207;0100;17,059;
180207;0200;16,8087;
180207;0300;17,025;
180207;0400;16,8319;
180207;0500;16,7315;
180207;0600;16,4979;
180207;0700;18,6725;
180207;0800;21,1138;
180207;0900;23,0051;
180207;1000;24,8964;
180207;1100;25,4294;
180207;1200;26,6623;
180207;1300;26,6037;
180207;1400;26,6283;
180207;1500;26,5529;
180207;1600;26,0359;
180207;1700;25,1355;
180207;1800;23,6351;
180207;1900;21,3098;
180207;2000;19,3844;
180207;2100;18,434;
180207;2200;17,2337;
180207;2300;16,8167;
180208;0000;16,7319;
180208;0100;15,9115;
180208;0200;15,6698;
180208;0300;15,514;
180208;0400;15,3527;
180208;0500;15,2275;
180208;0600;15,2941;
180208;0700;18,1294;
180208;0800;20,5207;
180208;0900;22,6953;
180208;1000;24,22;
180208;1100;24,8446;
180208;1200;25,9692;
180208;1300;26,8355;
180208;1400;27,6185;
180208;1500;27,5932;
180208;1600;27,3428;
180208;1700;25,6924;
180208;1800;23,8754;
180208;1900;21,5333;
180208;2000;19,9569;
180208;2100;18,5648;
180208;2200;17,8952;
180208;2300;17,5891;
180209;0000;17,2554;
180209;0100;16,8051;
180209;0200;16,413;
180209;0300;16,0293;
180209;0400;15,5937;
180209;0500;15,3518;
180209;0600;15,2016;
180209;0700;18,0029;
180209;0800;19,9443;
180209;0900;22,0605;
180209;1000;23,7101;
180209;1100;24,6848;
180209;1200;25,7178;
180209;1300;26,7424;
180209;1400;27,6254;
180209;1500;28,475;
180209;1600;28,4652;
180209;1700;27,8732;
180209;1800;26,8062;
180209;1900;24,5475;
180209;2000;22,6887;
180209;2100;21,1134;
180209;2200;20,2964;
180209;2300;19,1543;
180210;0000;17,1957;
180210;0100;16,2286;
180210;0200;15,3433;
180210;0300;14,9514;
180210;0400;14,4763;
180210;0500;14,0428;
180210;0600;13,5176;
180210;0700;17,1265;
180210;0800;19,1928;
180210;0900;20,534;
180210;1000;22,1754;
180210;1100;23,875;
180210;1200;26,4736;
180210;1300;27,3232;
180210;1400;27,8062;
180210;1500;27,9391;
180210;1600;26,9887;
180210;1700;25,6051;
180210;1800;24,2229;
180210;1900;22,7376;
180210;2000;20,629;
180210;2100;18,8619;
180210;2200;17,4032;
180210;2300;16,4696;
180211;0000;16,0275;
180211;0100;15,8511;
180211;0200;14,8426;
180211;0300;13,9924;
180211;0400;13,4422;
180211;0500;12,7836;
180211;0600;13,0752;
180211;0700;16,2167;
180211;0800;20,0403;
180211;0900;21,4066;
180211;1000;24,1645;
180211;1100;26,8892;
180211;1200;28,4638;
180211;1300;29,2718;
180211;1400;30,1548;
180211;1500;30,4961;
180211;1600;30,5623;
180211;1700;30,5704;
180211;1800;29,1866;
180211;1900;26,1612;
180211;2000;23,3109;
180211;2100;21,7439;
180211;2200;20,0601;
180211;2300;18,9765;
180212;0000;18,0594;
180212;0100;17,0424;
180212;0200;16,6754;
180212;0300;15,825;
180212;0400;15,3451;
180212;0500;14,9449;
180212;0600;14,7698;
180212;0700;18,3975;
180212;0800;22,8805;
180212;0900;25,0468;
180212;1000;27,9631;
180212;1100;29,7794;
180212;1200;30,2373;
180212;1300;32,2406;
180212;1400;32,8976;
180212;1500;33,1891;
180212;1600;32,8718;
180212;1700;31,1022;
